:START_ID(executive),:END_ID(stock),name,jobs
25a34cdfdedbad211a351c131400d2a4,300317,丁孔贤,董事长、董事
6786d3915f7861f935a67b6baa55f81f,300317,李雳,副董事长、董事
da82474f674c01408db81c46344d953a,300317,白亮,董事
1b4dd86bbed7183292a820b960f96b8d,300317,刘瑞波,董事
4cf8ee8e8d6b819536022b2c49c64045,300317,钟宇,独立董事
8257b8374d95d322ff88be57ee975a1b,300317,廖骞,独立董事
b642daaef41a6748f8e5d4a63d0efe58,000695,肖占鹏,董事长、董事
f99eac1e91dfca185509530f3fa82830,000695,郭锐,董事
b3c12df149382354edc0904e8046d854,000695,张虹霞,董事
7211f39997a7a8ceb2a06c28d600d8b4,000695,纪秀荣,董事
63e671777867cd59717b288002f52d70,000695,樊登义,独立董事
d3414a7ba046ec0fcdd21a4746c424a9,000695,冼国明,独立董事
66556fb8cf2993e02f14245874b05a2f,000695,李莉,独立董事
1bd59cefe3d7409f2f887e97791e0cd8,603848,沈汉标,董事长、董事
a8fbc4d849aa6928743321fb4f3eb7ae,603848,王妙玉,副董事长、董事
390dd79d61eab0ed33d0806a2889a708,603848,周秋英,董事
61c09d0b13a9167be7daad3d175de9eb,603848,吴震,独立董事
30d9d0b521c6e5300d09182db6c376dd,603848,张平,独立董事
b4c1d0b8ce1946deda59079990b7b924,600884,庄巍,董事长、董事
1556400af4385d83860734323f22f16c,600884,钱程,董事
bae8e39151f8eb6d7aa8b9c6eb490a90,600884,杨峰,董事
1edebb862aee44c60c26dab65a00526f,600884,陈光华,董事
0d8f0a87b75f1ce61a736b6c20080789,600884,沈云康,董事
1ded5139a480d08299f851c55e9c148e,600884,李凤凤,董事
3a519b989311aeb5e378e8a8188434e9,600884,仇斌,独立董事
5811d5bc3f446c8869c509c7eacb6413,600884,郭站红,独立董事
34da80c5e879e74a5699561952ab0802,600884,徐逸星,独立董事
689116aa90e391cbea8face50a005c96,600998,刘宝林,董事长、董事
e01f5230cca1211ef7c16d41b5615776,600998,刘树林,副董事长、董事
e21900f6d97ce39be83802dd93ab7c5a,600998,刘兆年,副董事长、董事
16eacce0c1d5d46fc4e5d6f6913a807b,600998,龚翼华,董事
18d318aff7f1945925bbdd9749ffc81c,600998,陈启明,董事
e7da73e80c1ef5e7390e00df272fcc02,600998,林新扬,董事
cca68caf5b8ed95fb08d3f6d1a06788e,600998,王琦,董事
11df7d53ab2db55d9ffafae4ca2b4fea,600998,余劲松,独立董事
a717f2e42fd8b230a90c56cae2043882,600998,王锦霞,独立董事
5ccece7e53db48e558054a980dad1f89,600998,张龙平,独立董事
ded9cddf4b8828a53f78cf3851c63587,600998,毛宗福,独立董事
554663a0a40e1dd3f4d685139370a7be,002387,程涛,董事长、董事
7fb009c114a315867e92a46d5bcf9e12,002387,张德强,董事
770351d5f66314a145b3942ceed55f3d,002387,严若媛,董事
dee8431c1cf64aad7418f8bd9f58c109,002387,刘祥伟,董事
7cfd1c466ad31b7ed39cdba25f491035,002387,王宏岩,董事
a00cf6bcdba3df950a66216c1259589f,002387,杨砚峰,董事
aaec7896d79f30473c8379b721bcb76f,002387,李伟敏,董事
f998a6669a965b22db213b1f3c6afd62,002387,严杰,独立董事
11d1ebecb3438608f614e68837523379,002387,郑建明,独立董事
48a49a4054205bf3b7016513397cef65,002387,周清杰,独立董事
a351d9bb273ff38125489913f98d9813,300175,戚大广,董事长、董事
5d0c5414f169d7d159016bf5ee579617,300175,戚永茂,副董事长、董事
c9799a3eb6cb0cd4b15e6dc670893583,300175,张丽娜,董事
7595516995a5fa08515f6e23feb7b790,300175,梁坤,独立董事
9e0868531fbf232f1c8c1210292675e3,300175,彭建云,独立董事
9150f0162e3f9f6bfddd0deca1fdcc1d,300175,张东明,独立董事
9769f6a4db5a932cbc0e435c4cc9eb9b,600997,张建公,董事长、董事
910d864f1761b64e1e1f8785f481ace2,600997,曹玉忠,副董事长、董事
06266f32689967796f4e4794f248c0d2,600997,房承宣,董事
ee3c1b9be97b30d0744e6cf1a18a1b83,600997,张东辉,董事
2b40a91b6afced701f91015a9aa5752a,600997,张彤,董事
fdc36e609e37a3535e7e7e396895bda0,600997,赵瑞麟,董事
c4c4704141df0a4a3706f20d9a2989b5,600997,梁俊娇,独立董事
023321973451051b7afa7db1b7354ee3,600997,楼建波,独立董事
8886b6510a96be477fcce44af615a2ad,600997,付永领,独立董事
70d7cb6f608697a4f75eeca1f3a93d12,000065,王一彤,董事长、董事
e70b646efc1159ec46cc118ea65c2260,000065,原军,董事
c6e95c323d80ea3d43cd380cb7342f53,000065,郝峰,董事
069c1a86ec87ab74e496aa551bf2c642,000065,余道春,董事
5496ee63a2aeb7f714f41c2e09610694,000065,张晓明,董事
9369aa4ca62f48c3e6cda5f4bd94d1ce,000065,魏合田,董事
5f2988dd673c321fe6261c3d99678cab,000065,谢兴国,独立董事
a5c972e7c5f65a234a817ae9bb7f4807,000065,何佳,独立董事
25b58b361e09c8fd97a8a81a5cf1040a,000065,鲍恩斯,独立董事
6f36cf89a2b1dcda216a4d05c4e53e0f,300323,周福云,名誉董事长、董事
67d81ae5d2d5ffc589a731627b80e87a,300323,俞信华,董事长、董事
75358222711cd24a6fd7d9007f400b8c,300323,刘榕,副董事长、董事
bc93c0572a4ce50c536abebaf70febc0,300323,吴龙驹,董事
d1bb0bd4eef1305a895010eebaf85048,300323,吴玲,独立董事
b7a11ff0520f901c1b11ccf74b7c3d4d,300323,徐科,独立董事
1ad21b3bab4508d2f307c67628795d17,300323,韩洪灵,独立董事
039a36470fd66e4da0b93d81754a94c8,601988,陈慕华,名誉董事长
456d1528009afbf86d3ab0d874a2350c,601988,陈四清,董事长、执行董事
8c9d374cf2e8f13ea679abc328c80540,601988,任德奇,执行董事
c6ffa2c4841ad7faabf526cde5041160,601988,张向东,非执行董事
6764318534c03b3d4f2381ab5dca7232,601988,肖立红,非执行董事
cb4b033f7ebd1be90fc134b608a5ce7f,601988,汪小亚,非执行董事
66eeafe70244ffa06b6f0165abeb1e6f,601988,赵杰,非执行董事
0a4209fc1ac9be7648885a7d9d62932c,601988,Arnout Henricus Elisabeth Maria WELLINK,独立非执行董事
12b75cc169e07be5897741fd0159e5d1,601988,Nout Wellink,独立非执行董事
640763eeb678b0352f5b0b58e49cad56,601988,陆正飞,独立非执行董事
39406e82e71280f5c42082ddb4fcd05b,601988,梁卓恩,独立非执行董事
6f1e4128f6abac344286651ddc0ef343,601988,汪昌云,独立非执行董事
901907cd3e4b671e94e4f7bea6ee83c5,601988,赵安吉,独立非执行董事
cbdd93f8fb2faeaf1e429136f30bcfb7,200018,陈略,董事长、董事
cf2b34cc0508293f7a7e552b537d5099,200018,李尔龙,副董事长、董事
a26d20642252eb479b13c87220654652,200018,梁荣,副董事长、董事
3c7e13166251d7cf4c2c0563b60c24c4,200018,田威,董事
39a744355a0f09550fbdafef95597381,200018,胡永峰,董事
7127ac2cdb03e088817e2011c970c3e6,200018,王镭,董事
1a4ada992dddfb26de316ff54e62799d,200018,江崇光,独立董事
cb619339bcdb29cff45f581dc7bdf839,200018,张宇锋,独立董事
f4ca5656000c1c5f369bb3b33dd4e907,200018,唐建新,独立董事
