:START_ID,:END_ID,:TYPE
243001,243002,COLLEAGUE_OF
243001,243004,PARENT_OF
243001,243007,COLLEAGUE_OF
243001,243010,FRIEND_OF
243001,243020,FRIEND_OF
243002,243003,FRIEND_OF
243002,243005,FRIEND_OF
243002,243008,FRIEND_OF
243002,243014,COLLEAUGE_OF
243002,243015,COLLEAUGE_OF
243003,243019,COLLEAGEU_OF
243004,243005,PARENT_OF
243005,243006,PARENT_OF
243005,243010,FRIEND_OF
243006,243010,FRIEND_OF
243007,243011,FRIEND_OF
243007,243008,PARENT_OF
243008,243010,FRIEND_OF
243009,243011,COLLEAGUE_OF
243009,243012,COLLEAGUE_OF
243010,243013,COLLEAGUE_OF
243012,243013,COLLEAGUE_OF
243012,243014,FRIEND_OF
243013,243014,FRIEND_OF
243014,243015,FRIEND_OF
243014,243016,FRIEND_OF
243015,243018,FRIEND_OF
243016,243019,FRIEND_OF
243017,243020,COLLEAUGE_OF
243018,243020,COLLEAUGE_OF
