:START_ID,:END_ID,:TYPE
138001,138003,CALL
138001,138004,CALL
138001,138005,CALL
138001,138007,CALL
138001,138010,CALL
138001,138015,CALL
138001,138029,CALL
138001,138038,CALL
138002,138005,CALL
138002,138009,CALL
138002,138014,CALL
138002,138035,CALL
138002,138038,CALL
138003,138010,CALL
138003,138015,CALL
138003,138029,CALL
138004,138005,CALL
138004,138007,CALL
138004,138008,CALL
138004,138024,CALL
138004,138039,CALL
138005,138006,CALL
138005,138010,CALL
138005,138013,CALL
138005,138033,CALL
138005,138039,CALL
138006,138007,CALL
138006,138019,CALL
138006,138029,CALL
138006,138034,CALL
138007,138015,CALL
138007,138021,CALL
138007,138038,CALL
138008,138009,CALL
138008,138019,CALL
138009,138011,CALL
138009,138028,CALL
138010,138013,CALL
138010,138015,CALL
138010,138033,CALL
138010,138038,CALL
138011,138019,CALL
138011,138021,CALL
138011,138022,CALL
138011,138028,CALL
138011,138039,CALL
138012,138013,CALL
138012,138015,CALL
138012,138019,CALL
138012,138028,CALL
138012,138034,CALL
138013,138019,CALL
138013,138020,CALL
138013,138021,CALL
138013,138028,CALL
138014,138016,CALL
138014,138028,CALL
138015,138018,CALL
138015,138022,CALL
138016,138018,CALL
138016,138021,CALL
138016,138025,CALL
138017,138022,CALL
138017,138023,CALL
138017,138018,CALL
138018,138020,CALL
138018,138021,CALL
138018,138023,CALL
138019,138020,CALL
138019,138024,CALL
138020,138022,CALL
138021,138025,CALL
138021,138028,CALL
138022,138024,CALL
138022,138028,CALL
138022,138038,CALL
138023,138033,CALL
138024,138038,CALL
138025,138026,CALL
138026,138029,CALL
138027,138030,CALL
138029,138031,CALL
138032,138035,CALL
138033,138035,CALL
138035,138036,CALL
138038,138039,CALL
